type,year,number
ukpga,1801,52
ukpga,1801,63
ukpga,1801,79
ukpga,1801,90
ukpga,1802,85
ukpga,1803,108
ukpga,1803,139
ukpga,1803,140
ukpga,1803,141
ukpga,1804,102
ukpga,1804,43
ukpga,1805,92
ukpga,1806,37
ukpga,1808,106
ukpga,1808,128
ukpga,1808,138
ukpga,1808,142
ukpga,1808,149
ukpga,1808,72
ukpga,1808,73
ukpga,1809,126
ukpga,1809,14
ukpga,1809,42
ukpga,1811,115
ukpga,1812,161
ukpga,1814,146
ukpga,1814,96
ukpga,1815,184
ukpga,1815,42
ukpga,1816,100
ukpga,1816,141
ukpga,1816,46
ukpga,1816,50
ukpga,1816,98
ukpga,1817,52
ukpga,1817,64
ukpga,1817,6
ukpga,1817,93
ukpga,1817,97
ukpga,1818,66
ukpga,1818,69
ukpga,1819,1
ukpga,1819,62
ukpga,1819,85
ukpga,1819,86
ukpga,1819,8
ukpga,1819,94
ukpga,1820,100
ukpga,1821,24
ukpga,1821,38
ukpga,1821,76
ukpga,1822,33
ukpga,1822,72
ukpga,1823,18
ukpga,1823,19
ukpga,1823,55
ukpga,1823,98
ukpga,1824,113
ukpga,1824,74
ukpga,1824,82
ukpga,1824,83
ukpga,1824,87
ukpga,1825,120
ukpga,1825,22
ukpga,1825,50
ukpga,1825,92
ukpga,1825,97
ukpga,1826,16
ukpga,1826,64
ukpga,1826,8
ukpga,1827,17
ukpga,1828,14
ukpga,1828,24
ukpga,1828,25
ukpga,1828,29
ukpga,1828,37
ukpga,1828,66
ukpga,1828,69
ukpga,1829,19
ukpga,1829,44
ukpga,1829,7
ukpga,1830,18
ukpga,1830,37
ukpga,1830,64
ukpga,1830,68
ukpga,1830,69
ukpga,1831,22
ukpga,1831,32
ukpga,1831,37
ukpga,1831,60
ukpga,1832,100
ukpga,1832,111
ukpga,1832,16
ukpga,1832,40
ukpga,1832,42
ukpga,1832,68
ukpga,1832,71
ukpga,1832,80
ukpga,1833,106
ukpga,1833,13
ukpga,1833,29
ukpga,1833,31
ukpga,1833,35
ukpga,1833,41
ukpga,1833,69
ukpga,1833,70
ukpga,1833,73
ukpga,1833,74
ukpga,1833,85
ukpga,1833,99
ukpga,1834,16
ukpga,1834,41
ukpga,1835,35
ukpga,1835,41
ukpga,1835,50
ukpga,1835,62
ukpga,1836,106
ukpga,1836,20
ukpga,1836,33
ukpga,1836,42
ukpga,1836,64
ukpga,1836,71
ukpga,1836,77
ukpga,1837,26
ukpga,1837,2
ukpga,1837,45
ukpga,1837,73
ukpga,1837,83
ukpga,1837,88
ukpga,1837,91
ukpga,1838,101
ukpga,1838,106
ukpga,1838,110
ukpga,1838,114
ukpga,1838,118
ukpga,1838,20
ukpga,1838,23
ukpga,1838,43
ukpga,1838,64
ukpga,1838,70
ukpga,1838,89
ukpga,1839,36
ukpga,1839,45
ukpga,1839,47
ukpga,1839,62
ukpga,1839,71
ukpga,1840,110
ukpga,1840,113
ukpga,1840,15
ukpga,1840,20
ukpga,1840,48
ukpga,1840,59
ukpga,1840,74
ukpga,1840,84
ukpga,1840,92
ukpga,1840,97
ukpga,1840,9
ukpga,1841,14
ukpga,1841,30
ukpga,1841,38
ukpga,1841,39
ukpga,1841,6
ukpga,1842,108
ukpga,1842,26
ukpga,1842,51
ukpga,1842,54
ukpga,1842,55
ukpga,1842,94
ukpga,1842,97
ukpga,1843,30
ukpga,1843,31
ukpga,1843,37
ukpga,1843,38
ukpga,1843,40
ukpga,1843,86
ukpga,1843,90
ukpga,1843,96
ukpga,1843,98
ukpga,1844,105
ukpga,1844,29
ukpga,1844,32
ukpga,1844,37
ukpga,1844,44
ukpga,1844,49
ukpga,1844,59
ukpga,1844,61
ukpga,1844,65
ukpga,1844,69
ukpga,1844,96
ukpga,1845,109
ukpga,1845,113
ukpga,1845,118
ukpga,1845,127
ukpga,1845,15
ukpga,1845,16
ukpga,1845,17
ukpga,1845,18
ukpga,1845,19
ukpga,1845,20
ukpga,1845,33
ukpga,1845,35
ukpga,1845,37
ukpga,1845,38
ukpga,1845,42
ukpga,1845,63
ukpga,1845,75
ukpga,1846,17
ukpga,1846,33
ukpga,1846,48
ukpga,1846,67
ukpga,1846,70
ukpga,1846,72
ukpga,1846,73
ukpga,1847,104
ukpga,1847,111
ukpga,1847,14
ukpga,1847,16
ukpga,1847,27
ukpga,1847,34
ukpga,1847,65
ukpga,1847,69
ukpga,1847,89
ukpga,1847,92
ukpga,1847,94
ukpga,1847,98
ukpga,1848,12
ukpga,1848,29
ukpga,1848,30
ukpga,1848,36
ukpga,1848,42
ukpga,1848,55
ukpga,1848,63
ukpga,1848,83
ukpga,1848,99
ukpga,1849,45
ukpga,1849,49
ukpga,1849,51
ukpga,1849,67
ukpga,1849,78
ukpga,1849,83
ukpga,1849,89
ukpga,1849,96
ukpga,1850,26
ukpga,1850,36
ukpga,1850,60
ukpga,1850,7
ukpga,1850,94
ukpga,1850,98
ukpga,1851,13
ukpga,1851,24
ukpga,1851,25
ukpga,1851,42
ukpga,1851,53
ukpga,1851,55
ukpga,1851,83
ukpga,1851,94
ukpga,1851,99
ukpga,1852,27
ukpga,1852,28
ukpga,1852,2
ukpga,1852,49
ukpga,1852,55
ukpga,1852,76
ukpga,1852,79
ukpga,1852,85
ukpga,1853,127
ukpga,1853,131
ukpga,1853,134
ukpga,1853,20
ukpga,1853,30
ukpga,1853,33
ukpga,1853,49
ukpga,1853,65
ukpga,1853,83
ukpga,1853,85
ukpga,1853,94
ukpga,1854,112
ukpga,1854,120
ukpga,1854,125
ukpga,1854,34
ukpga,1854,67
ukpga,1854,73
ukpga,1854,81
ukpga,1854,83
ukpga,1854,89
ukpga,1854,91
ukpga,1854,94
ukpga,1854,97
ukpga,1855,111
ukpga,1855,114
ukpga,1855,117
ukpga,1855,120
ukpga,1855,121
ukpga,1855,128
ukpga,1855,131
ukpga,1855,133
ukpga,1855,32
ukpga,1855,48
ukpga,1855,58
ukpga,1855,68
ukpga,1855,81
ukpga,1855,84
ukpga,1855,90
ukpga,1856,119
ukpga,1856,120
ukpga,1856,1
ukpga,1856,29
ukpga,1856,2
ukpga,1856,56
ukpga,1856,60
ukpga,1856,88
ukpga,1856,91
ukpga,1856,97
ukpga,1857,25
ukpga,1857,26
ukpga,1857,31
ukpga,1857,3
ukpga,1857,43
ukpga,1857,44
ukpga,1857,58
ukpga,1857,81
ukpga,1858,109
ukpga,1858,25
ukpga,1858,45
ukpga,1858,49
ukpga,1858,56
ukpga,1858,57
ukpga,1858,71
ukpga,1858,78
ukpga,1858,83
ukpga,1858,90
ukpga,1858,93
ukpga,1859,12
ukpga,1859,12
ukpga,1859,19
ukpga,1859,1
ukpga,1859,1
ukpga,1859,21
ukpga,1859,27
ukpga,1859,30
ukpga,1859,32
ukpga,1859,35
ukpga,1859,43
ukpga,1859,46
ukpga,1859,63
ukpga,1860,106
ukpga,1860,112
ukpga,1860,122
ukpga,1860,123
ukpga,1860,124
ukpga,1860,135
ukpga,1860,154
ukpga,1860,27
ukpga,1860,32
ukpga,1860,66
ukpga,1860,90
ukpga,1860,91
ukpga,1860,93
ukpga,1860,95
ukpga,1861,100
ukpga,1861,121
ukpga,1861,124
ukpga,1861,3
